ID,gender,feduc,peducd,meduc,meducd,educ,educd,educsubj,score,salary9606,salary1,date1,salary2,date2,salary3,date3,salary4,date4,salary5,date5,salarynow,jobprotection,jobeduc,cpn2014
5821,女,小學,,,,一般大學,公立一般大學,工程、製造及營造領域,,0,,拒答,拒答,拒答,拒答,拒答,拒答,拒答,拒答,拒答,28000,3,專科,1
5823,女,高職,私立,國（初）中,,一般大學,公立一般大學,教育領域,53,10000,12000,9596,,9596,10000,9701,,9703,2500,9810,44000,4,大學,1
5836,男,高職,公立,高職,,碩士,公立一般大學,工程、製造及營造領域,68,48000,48000,10210,,,,,,,,,48000,4,大學,1
5841,女,高中職業科,,高中,私立,高職,,,,27000,14000,9307,14000,9501,,9504,22000,9604,27000,10004,27000,4,高中(職),1
5843,女,一般大學,私立,三專,私立,碩士,公立一般大學,工程、製造及營造領域,73,45000,45000,10207,,,,,,,,,46000,4,大學,1
5848,男,國（初）中,,高中普通科,私立,技術學院或科技大學,私立技職學院,科學領域,,30000,30000,10204,30000,10303,,,,,,,30000,3,高中(職),1
5851,女,,,高職,私立,技術學院或科技大學,私立技職學院,服務領域,45,19000,18000,9306,,9309,19000,9606,14000,9609,15000,9709,30000,2,專科,1
5859,女,國（初）中,公立,小學,公立,高職,,,,16000,11000,9407,12000,9501,16000,9811,,,,,16000,4,高中(職),1
5864,男,高職,公立,,,高中,,,,17000,17000,9609,,9908,20000,10008,32000,10104,,,32000,4,大學,1
5865,男,,,高職,私立,技術學院或科技大學,私立科技大學,科學領域,,21000,21000,9906,,9909,,10006,,10010,29000,10109,32000,4,高中(職),1
5868,女,碩士,公立,技術學院或科技大學,私立,一般大學,私立一般大學,科學領域,38,26000,26000,9908,10000,10007,,10107,,,,,10000,3,大學,1
5877,女,一般大學,私立,一般大學,私立,一般大學,私立一般大學,社會科學、商業及法律領域,38,30000,30000,10101,,10102,35000,10107,40000,10111,,,40000,5,高中(職),1
5878,女,小學,公立,小學,公立,技術學院或科技大學,私立科技大學,農學領域,,8000,8000,9607,8000,9609,,9611,,10006,20000,10010,25000,4,大學,1
5882,女,高職,私立,高職,私立,一般大學,私立一般大學,服務領域,47,27000,27000,10006,22000,10207,,,,,,,23000,2,高中(職),1
5883,男,高職,公立,高職,公立,碩士,公立一般大學,服務領域,45,0,,10206,,10209,,,,,,,,5,碩士,1
5888,男,高職,私立,高職,私立,碩士,私立一般大學,工程、製造及營造領域,45,0,,9007,,9009,0,9107,,9109,0,9207,,4,高中(職),1
5892,女,一般大學,公立,二專,,一般大學,公立一般大學,社會科學、商業及法律領域,55,40000,40000,10007,41700,10108,,,,,,,45000,4,專科,1
5896,男,國（初）中,,高職,私立,技術學院或科技大學,私立科技大學,服務領域,,0,25000,9409,,9602,,10009,21000,10109,,10206,30000,2,國中以下,1
5900,男,五專,私立,高職,,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,25000,25000,10109,,,,,,,,,27000,4,高中(職),1
5903,女,小學,公立,小學,公立,一般大學,公立一般大學,農學領域,54,0,16000,9605,,9609,23000,9707,,9709,7000,10004,22000,4,高中(職),1
5906,女,高職,公立,高職,私立,一般大學,私立一般大學,人文及藝術領域,47,10000,10000,10009,32000,10303,,,,,,,32000,3,大學,1
5910,女,國（初）中,公立,國（初）中,公立,高職,,,,27000,27000,9607,30000,10110,,,,,,,30000,5,高中(職),1
5911,男,,,,,高職,,工業類,,33000,6000,9409,33000,9701,30000,10105,30000,10302,,,30000,3,國中以下,1
5914,女,高職,公立,高職,,一般大學,私立一般大學,社會科學、商業及法律領域,,0,5400,9310,12000,9507,,9607,8000,9807,,9902,23000,4,高中(職),1
5916,女,國（初）中,,國（初）中,公立,一般大學,私立一般大學,人文及藝術領域,49,27400,27400,10307,,,,,,,,,27400,3,高中(職),1
5927,男,高職,私立,高中,,技術學院或科技大學,私立科技大學,工程、製造及營造領域,26,20000,20000,9607,,9609,8000,9701,15000,9707,8000,9710,30000,5,高中(職),1
5931,女,五專,私立,高職,公立,碩士,公立一般大學,人文及藝術領域,,0,,,,,,,,,,,,,,1
5942,男,一般大學,私立,一般大學,私立,一般大學,,,,0,,,,,,,,,,,,,,1
5943,女,,,,,技術學院或科技大學,私立科技大學,社會科學、商業及法律領域,,25000,17000,,18000,,25000,10002,20000,10111,30000,10307,30000,3,高中(職),1
5944,女,高中普通科,私立,國（初）中,,高中,,,,32000,32000,9805,,9909,48000,10202,,,,,63000,4,國中以下,1
5947,女,小學,公立,國（初）中,公立,技術學院或科技大學,私立科技大學,工程、製造及營造領域,,25000,25000,10009,25000,10303,,,,,,,25000,4,專科,1
